task	method	budget	obs	seed
bernoulli_glm_raw	rej	100000	7	53680587
bernoulli_glm_raw	rej_ra	100000	7	1769590795
bernoulli_glm_raw	smc	100000	7	975813098
bernoulli_glm_raw	smc_ra	100000	7	404242109
bernoulli_glm_raw	rej	100000	8	683174665
bernoulli_glm_raw	rej_ra	100000	8	1203105573
bernoulli_glm_raw	smc	100000	8	1126185329
bernoulli_glm_raw	smc_ra	100000	8	1376938475
bernoulli_glm_raw	rej	100000	9	924378528
bernoulli_glm_raw	rej_ra	100000	9	1914524726
bernoulli_glm_raw	smc	100000	9	1846511039
bernoulli_glm_raw	smc_ra	100000	9	259308178
bernoulli_glm_raw	rej	100000	10	1812476724
bernoulli_glm_raw	rej_ra	100000	10	1058171642
bernoulli_glm_raw	smc	100000	10	255487388
bernoulli_glm_raw	smc_ra	100000	10	1842690249
two_moons	rej	1000	1	50242456
two_moons	rej_ra	1000	1	816937329
two_moons	smc	1000	1	972374967
two_moons	smc_ra	1000	1	1385172106
two_moons	rej	1000	2	1948244031
two_moons	rej_ra	1000	2	1844240963
two_moons	smc	1000	2	1129623460
two_moons	smc_ra	1000	2	1283173681
two_moons	rej	1000	3	920940397
two_moons	rej_ra	1000	3	961871260
two_moons	smc	1000	3	827441036
two_moons	smc_ra	1000	3	255870047
two_moons	rej	1000	4	1803310100
two_moons	rej_ra	1000	4	645681933
two_moons	smc	1000	4	1274557391
two_moons	smc_ra	1000	4	153871622
two_moons	rej	1000	5	933545152
two_moons	rej_ra	1000	5	91173319
two_moons	smc	1000	5	1376555816
two_moons	smc_ra	1000	5	1598615502
two_moons	rej	1000	6	674008041
two_moons	rej_ra	1000	6	1516379874
two_moons	smc	1000	6	403859450
two_moons	smc_ra	1000	6	8937691
two_moons	rej	1000	7	1646704407
two_moons	rej_ra	1000	7	236107250
two_moons	smc	1000	7	505857875
two_moons	smc_ra	1000	7	93060736
two_moons	rej	1000	8	529074110
two_moons	rej_ra	1000	8	338105675
two_moons	smc	1000	8	1451206621
two_moons	smc_ra	1000	8	879635632
two_moons	rej	1000	9	1572924317
two_moons	rej_ra	1000	9	1365409309
two_moons	smc	1000	9	650791806
two_moons	smc_ra	1000	9	1222362795
two_moons	rej	1000	10	1399772051
two_moons	rej_ra	1000	10	242143884
two_moons	smc	1000	10	1678095440
two_moons	smc_ra	1000	10	734701701
two_moons	rej	10000	1	1011973550
two_moons	rej_ra	10000	1	1854345383
two_moons	smc	10000	1	568962886
two_moons	smc_ra	10000	1	1460919504
two_moons	rej	10000	2	105656749
two_moons	rej_ra	10000	2	736715086
two_moons	smc	10000	2	1183524238
two_moons	smc_ra	10000	2	146633689
two_moons	rej	10000	3	207655174
two_moons	rej_ra	10000	3	1709411452
two_moons	smc	10000	3	424028955
two_moons	smc_ra	10000	3	1029003392
two_moons	rej	10000	4	1234958808
two_moons	rej_ra	10000	4	1607413027
two_moons	smc	10000	4	1677969472
two_moons	smc_ra	10000	4	1699758
two_moons	rej	10000	5	372594385
two_moons	rej_ra	10000	5	494585400
two_moons	smc	10000	5	1294726896
two_moons	smc_ra	10000	5	1899701333
two_moons	rej	10000	6	364260867
two_moons	rej_ra	10000	6	1462479096
two_moons	smc	10000	6	177096599
two_moons	smc_ra	10000	6	872397699
two_moons	rej	10000	7	1481891164
two_moons	rej_ra	10000	7	639519331
two_moons	smc	10000	7	1149792965
two_moons	smc_ra	10000	7	1754767402
two_moons	rej	10000	8	509194798
two_moons	rej_ra	10000	8	333177037
two_moons	smc	10000	8	952205462
two_moons	smc_ra	10000	8	982087850
two_moons	rej	10000	9	611193223
two_moons	rej_ra	10000	9	1768821390
two_moons	smc	10000	9	20490906
two_moons	smc_ra	10000	9	625465343
two_moons	rej	10000	10	996359970
two_moons	rej_ra	10000	10	886451687
two_moons	smc	10000	10	902860609
two_moons	smc_ra	10000	10	1476533084
two_moons	rej	100000	1	1740153301
two_moons	rej_ra	100000	1	910041236
two_moons	smc	100000	1	818020790
two_moons	smc_ra	100000	1	405223651
two_moons	rej	100000	2	1232543067
two_moons	rej_ra	100000	2	1826814016
two_moons	smc	100000	2	789532403
two_moons	smc_ra	100000	2	507222076
two_moons	rej	100000	3	869455360
two_moons	rej_ra	100000	3	1780739177
two_moons	smc	100000	3	1947322849
two_moons	smc_ra	100000	3	1534525710
two_moons	rej	100000	4	1087609136
two_moons	rej_ra	100000	4	663108880
two_moons	smc	100000	4	644598472
two_moons	smc_ra	100000	4	73027483
two_moons	rej	100000	5	985610711
two_moons	rej_ra	100000	5	73746372
two_moons	smc	100000	5	92256780
two_moons	smc_ra	100000	5	1679459641
two_moons	rej	100000	6	1116387716
two_moons	rej_ra	100000	6	1533806821
two_moons	smc	100000	6	1515296413
two_moons	smc_ra	100000	6	1781458066
two_moons	rej	100000	7	143691350
two_moons	rej_ra	100000	7	506503187
two_moons	smc	100000	7	1413297988
two_moons	smc_ra	100000	7	808761700
two_moons	rej	100000	8	1261321647
two_moons	rej_ra	100000	8	1388872890
two_moons	smc	100000	8	339189136
two_moons	smc_ra	100000	8	910760125
two_moons	rej	100000	9	1711374721
two_moons	rej_ra	100000	9	713125537
two_moons	smc	100000	9	1268364057
two_moons	smc_ra	100000	9	696793068
two_moons	rej	100000	10	390623706
two_moons	rej_ra	100000	10	259570831
two_moons	smc	100000	10	241060423
two_moons	smc_ra	100000	10	1055694056
slcp	rej	1000	1	91558038
slcp	rej_ra	1000	1	1791253619
slcp	smc	1000	1	1991227324
slcp	smc_ra	1000	1	381335016
slcp	rej	1000	2	1660929086
slcp	rej_ra	1000	2	818557253
slcp	smc	1000	2	1018530958
slcp	smc_ra	1000	2	1575729480
slcp	rej	1000	3	1946624107
slcp	rej_ra	1000	3	920555678
slcp	smc	1000	3	589022235
slcp	smc_ra	1000	3	526268947
slcp	rej	1000	4	790231145
slcp	rej_ra	1000	4	1947859312
slcp	smc	1000	4	1163464889
slcp	smc_ra	1000	4	446427421
slcp	rej	1000	5	817322048
slcp	rej_ra	1000	5	1065489609
slcp	smc	1000	5	1265463314
slcp	smc_ra	1000	5	1655571006
slcp	rej	1000	6	1699691751
slcp	rej_ra	1000	6	92793243
slcp	smc	1000	6	342089879
slcp	smc_ra	1000	6	301493490
slcp	rej	1000	7	672388117
slcp	rej_ra	1000	7	194791668
slcp	smc	1000	7	394765373
slcp	smc_ra	1000	7	199495065
slcp	rej	1000	8	1429610310
slcp	rej_ra	1000	8	1412761525
slcp	smc	1000	8	197155948
slcp	smc_ra	1000	8	1902503362
slcp	rej	1000	9	1543086058
slcp	rej_ra	1000	9	339725599
slcp	smc	1000	9	539699304
slcp	smc_ra	1000	9	929806996
slcp	rej	1000	10	425455761
slcp	rej_ra	1000	10	1267827594
slcp	smc	1000	10	1067853889
slcp	smc_ra	1000	10	47437293
slcp	rej	10000	1	1962342742
slcp	rej_ra	10000	1	880029093
slcp	smc	10000	1	680055388
slcp	smc_ra	10000	1	435235794
slcp	rej	10000	2	64341167
slcp	rej_ra	10000	2	1221969334
slcp	smc	10000	2	437574911
slcp	smc_ra	10000	2	1172317399
slcp	rej	10000	3	1091644801
slcp	rej_ra	10000	3	1750727034
slcp	smc	10000	3	535121457
slcp	smc_ra	10000	3	1564537853
slcp	rej	10000	4	209275098
slcp	rej_ra	10000	4	1366903265
slcp	smc	10000	4	1566876970
slcp	smc_ra	10000	4	43015340
slcp	rej	10000	5	1236578732
slcp	rej_ra	10000	5	1605793103
slcp	smc	10000	5	1668875395
slcp	smc_ra	10000	5	1709471784
slcp	rej	10000	6	1338577157
slcp	rej_ra	10000	6	496205324
slcp	smc	10000	6	288189101
slcp	smc_ra	10000	6	1898081409
slcp	rej	10000	7	268976036
slcp	rej_ra	10000	7	598203749
slcp	smc	10000	7	1813809326
slcp	smc_ra	10000	7	203917018
slcp	rej	10000	8	467879216
slcp	rej_ra	10000	8	1358860747
slcp	smc	10000	8	841112960
slcp	smc_ra	10000	8	768779350
slcp	rej	10000	9	124042105
slcp	rej_ra	10000	9	743137680
slcp	smc	10000	9	943111385
slcp	smc_ra	10000	9	1651149053
slcp	rej	10000	10	612813147
slcp	rej_ra	10000	10	1770441314
slcp	smc	10000	10	1970415019
slcp	smc_ra	10000	10	623845419
slcp	rej	100000	1	1375857074
slcp	rej_ra	100000	1	951356818
slcp	smc	100000	1	1792337080
slcp	smc_ra	100000	1	363908069
slcp	rej	100000	2	258226777
slcp	rej_ra	100000	2	801130306
slcp	smc	100000	2	819640714
slcp	smc_ra	100000	2	1391211703
slcp	rej	100000	3	1843771650
slcp	rej_ra	100000	3	806422887
slcp	smc	100000	3	787912479
slcp	smc_ra	100000	3	508842000
slcp	rej	100000	4	1128924718
slcp	rej_ra	100000	4	1930432365
slcp	smc	100000	4	685914054
slcp	smc_ra	100000	4	463854368
slcp	rej	100000	5	973073709
slcp	rej_ra	100000	5	1677120828
slcp	smc	100000	5	1066573070
slcp	smc_ra	100000	5	1638144059
slcp	rej	100000	6	983990787
slcp	rej_ra	100000	6	75366296
slcp	smc	100000	6	540980123
slcp	smc_ra	100000	6	1969409134
slcp	rej	100000	7	1118007640
slcp	rej_ra	100000	7	1532186897
slcp	smc	100000	7	195875129
slcp	smc_ra	100000	7	1783077990
slcp	rej	100000	8	489545553
slcp	rej_ra	100000	8	1430188472
slcp	smc	100000	8	1411678064
slcp	smc_ra	100000	8	1824475203
slcp	rej	100000	9	247309699
slcp	rej_ra	100000	9	402884838
slcp	smc	100000	9	384374430
slcp	smc_ra	100000	9	912380049
slcp	rej	100000	10	1364939996
slcp	rej_ra	100000	10	1285254541
slcp	smc	100000	10	1266744133
slcp	smc_ra	100000	10	695173144
slcp_distractors	rej	1000	1	1521458428
slcp_distractors	rej_ra	1000	1	232036034
slcp_distractors	smc	1000	1	202847088
slcp_distractors	smc_ra	1000	1	1941796870
slcp_distractors	rej	1000	2	494154794
slcp_distractors	rej_ra	1000	2	1375517159
slcp_distractors	smc	1000	2	1549640036
slcp_distractors	smc_ra	1000	2	160201557
slcp_distractors	rej	1000	3	1376524497
slcp_distractors	rej_ra	1000	3	1361338093
slcp_distractors	smc	1000	3	57913157
slcp_distractors	smc_ra	1000	3	1277831854
slcp_distractors	rej	1000	4	1360330755
slcp_distractors	rej_ra	1000	4	478968390
slcp_distractors	smc	1000	4	678942095
slcp_distractors	smc_ra	1000	4	305135488
slcp_distractors	rej	1000	5	247222438
slcp_distractors	rej_ra	1000	5	1128584803
slcp_distractors	smc	1000	5	928611098
slcp_distractors	smc_ra	1000	5	407133913
slcp_distractors	rej	1000	6	1219918804
slcp_distractors	rej_ra	1000	6	1608270449
slcp_distractors	smc	1000	6	1901307464
slcp_distractors	smc_ra	1000	6	1434437547
slcp_distractors	rej	1000	7	102288507
slcp_distractors	rej_ra	1000	7	1999282744
slcp_distractors	smc	1000	7	783677167
slcp_distractors	smc_ra	1000	7	552067844
slcp_distractors	rej	1000	8	1999709920
slcp_distractors	rej_ra	1000	8	1753204380
slcp_distractors	smc	1000	8	1318321260
slcp_distractors	smc_ra	1000	8	1055485349
slcp_distractors	rej	1000	9	972986448
slcp_distractors	rej_ra	1000	9	1854348813
slcp_distractors	smc	1000	9	1654375108
slcp_distractors	smc_ra	1000	9	1681369903
slcp_distractors	rej	1000	10	1129011979
slcp_distractors	rej_ra	1000	10	247649614
slcp_distractors	smc	1000	10	447623319
slcp_distractors	smc_ra	1000	10	1926183290
slcp_distractors	rej	10000	1	1187823267
slcp_distractors	rej_ra	10000	1	635448115
slcp_distractors	smc	10000	1	1851053692
slcp_distractors	smc_ra	10000	1	1538384789
slcp_distractors	rej	10000	2	1549031985
slcp_distractors	rej_ra	10000	2	1321616381
slcp_distractors	smc	10000	2	1953052117
slcp_distractors	smc_ra	10000	2	1579245510
slcp_distractors	rej	10000	3	58521208
slcp_distractors	rej_ra	10000	3	780382046
slcp_distractors	smc	10000	3	980355751
slcp_distractors	smc_ra	10000	3	1393450858
slcp_distractors	rej	10000	4	940890911
slcp_distractors	rej_ra	10000	4	882380471
slcp_distractors	smc	10000	4	627197442
slcp_distractors	smc_ra	10000	4	708547569
slcp_distractors	rej	10000	5	1913587277
slcp_distractors	rej_ra	10000	5	1909684105
slcp_distractors	smc	10000	5	1125289682
slcp_distractors	smc_ra	10000	5	264148799
slcp_distractors	rej	10000	6	1811588852
slcp_distractors	rej_ra	10000	6	1697869088
slcp_distractors	smc	10000	6	1227288107
slcp_distractors	smc_ra	10000	6	1146518502
slcp_distractors	rej	10000	7	784285218
slcp_distractors	rej_ra	10000	7	54618036
slcp_distractors	smc	10000	7	380265086
slcp_distractors	smc_ra	10000	7	119214868
slcp_distractors	rej	10000	8	1317713209
slcp_distractors	rej_ra	10000	8	156616461
slcp_distractors	smc	10000	8	356590166
slcp_distractors	smc_ra	10000	8	1982783559
slcp_distractors	rej	10000	9	639351287
slcp_distractors	rej_ra	10000	9	1183920095
slcp_distractors	smc	10000	9	235331155
slcp_distractors	smc_ra	10000	9	84781984
slcp_distractors	rej	10000	10	537352862
slcp_distractors	rej_ra	10000	10	1285918520
slcp_distractors	smc	10000	10	501524097
slcp_distractors	smc_ra	10000	10	1872282512
slcp_distractors	rej	100000	1	461114627
slcp_distractors	rej_ra	100000	1	214609087
slcp_distractors	smc	100000	1	401737332
slcp_distractors	smc_ra	100000	1	934007679
slcp_distractors	rej	100000	2	511581741
slcp_distractors	rej_ra	100000	2	1392944106
slcp_distractors	smc	100000	2	1374433698
slcp_distractors	smc_ra	100000	2	1961311313
slcp_distractors	rej	100000	3	1590416686
slcp_distractors	rej_ra	100000	3	709054321
slcp_distractors	smc	100000	3	1272435273
slcp_distractors	smc_ra	100000	3	1646241880
slcp_distractors	rej	100000	4	366647810
slcp_distractors	rej_ra	100000	4	263642047
slcp_distractors	smc	100000	4	480051851
slcp_distractors	smc_ra	100000	4	1090613372
slcp_distractors	rej	100000	5	1735350617
slcp_distractors	rej_ra	100000	5	1146011750
slcp_distractors	smc	100000	5	1127501342
slcp_distractors	smc_ra	100000	5	208243669
slcp_distractors	rej	100000	6	1237345751
slcp_distractors	rej_ra	100000	6	118708116
slcp_distractors	smc	100000	6	1609353910
slcp_distractors	smc_ra	100000	6	1235547303
slcp_distractors	rej	100000	7	864652676
slcp_distractors	rej_ra	100000	7	1983290311
slcp_distractors	smc	100000	7	1998199283
slcp_distractors	smc_ra	100000	7	1337545728
slcp_distractors	rej	100000	8	966651101
slcp_distractors	rej_ra	100000	8	989406057
slcp_distractors	smc	100000	8	880568986
slcp_distractors	smc_ra	100000	8	270007465
slcp_distractors	rej	100000	9	990413395
slcp_distractors	rej_ra	100000	9	1871775760
slcp_distractors	smc	100000	9	1853265352
slcp_distractors	smc_ra	100000	9	1482479659
slcp_distractors	rej	100000	10	1111585032
slcp_distractors	rej_ra	100000	10	230222667
slcp_distractors	smc	100000	10	248733075
slcp_distractors	smc_ra	100000	10	125073534
